Sample in Buffer,Sample in Window,TRIGGER,dbg_pc[14:0],dbg_rstn,dbg_uart_addr,dbg_uart_tx_pre,dbg_uart_tx_valid,trap_trigger,reg_dec_pc[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
2278,2278,0,0094,1,0,1,0,0,0000008c
2279,2279,0,0098,1,0,1,0,0,00000090
2280,2280,0,009c,1,0,1,0,0,00000094
2281,2281,0,00a0,1,0,1,0,0,00000098
2282,2282,0,00a4,1,0,1,0,0,0000009c
2283,2283,0,00a8,1,0,1,0,0,000000a0
2284,2284,0,00ac,1,0,1,0,0,000000a4
2285,2285,0,00ac,1,0,1,0,0,000000a4
2286,2286,0,00ac,1,0,1,0,0,000000a4
2287,2287,0,00b0,1,0,1,0,0,000000a8
2288,2288,0,00b4,1,0,1,0,0,000000ac
2289,2289,0,0054,1,0,1,0,0,000000ac
2290,2290,0,0058,1,0,1,0,0,00000000
2291,2291,0,005c,1,0,1,0,0,00000054
2292,2292,0,0068,1,0,1,0,0,00000054
2293,2293,0,006c,1,0,1,0,0,00000000
2294,2294,0,0070,1,0,1,0,0,00000068
2295,2295,0,0070,1,0,1,0,0,00000068
2296,2296,0,0070,1,0,1,0,0,00000068
2297,2297,0,0074,1,0,1,0,0,0000006c
2298,2298,0,0078,1,0,1,0,0,00000070
2299,2299,0,007c,1,0,1,0,0,00000074
2300,2300,0,0080,1,0,1,0,0,00000078
2301,2301,0,0084,1,0,1,0,0,0000007c
2302,2302,0,0088,1,0,1,0,0,00000080
2303,2303,0,008c,1,0,1,0,0,00000084
2304,2304,0,0090,1,0,1,0,0,00000088
2305,2305,0,0090,1,0,1,0,0,00000088
2306,2306,0,0090,1,0,1,0,0,00000088
2307,2307,0,0094,1,0,1,0,0,0000008c
2308,2308,0,0094,1,0,1,0,0,0000008c
2309,2309,0,0098,1,0,1,0,0,00000090
2310,2310,0,009c,1,0,1,0,0,00000094
2311,2311,0,00a0,1,0,1,0,0,00000098
2312,2312,0,00a4,1,0,1,0,0,0000009c
2313,2313,0,00a8,1,0,1,0,0,000000a0
2314,2314,0,00ac,1,0,1,0,0,000000a4
2315,2315,0,00ac,1,0,1,0,0,000000a4
2316,2316,0,00ac,1,0,1,0,0,000000a4
2317,2317,0,00b0,1,0,1,0,0,000000a8
2318,2318,0,00b4,1,0,1,0,0,000000ac
2319,2319,0,0054,1,0,1,0,0,000000ac
2320,2320,0,0058,1,0,1,0,0,00000000
2321,2321,0,005c,1,0,1,0,0,00000054
